Colonne1;Colonne2
aminoside;(AGly)aph(2'')-Ig
aminoside;(AGly)aph(2'')-Ih
aminoside;(AGly)aph(2'')-IIa
aminoside;(AGly)aph(3'')-Ia1
aminoside;(AGly)aph(3'')-IIb
aminoside;(AGly)aph(3'')-III
aminoside;(AGly)aph(3')-IX
aminoside;(AGly)aph3-Ia
aminoside;(AGly)aph3-Ib
aminoside;(AGly)aph3-IIc
aminoside;(AGly)aph3-Vb
aminoside;(AGly)aph3-Vc
aminoside;(AGly)aph3-VIIa
aminoside;(AGly)aph4-Ia
aminoside;(AGly)aph4-Ib
aminoside;(AGly)aph6-Ia
aminoside;(AGly)aph6-Ib
aminoside;(AGly)aph7
aminoside;(AGly)aph9-Ia
aminoside;(AGly)aph9-Ib
aminoside;(AGly)aphA15
aminoside;(AGly)aphA2
aminoside;(AGly)aphEII
aminoside;(AGly)apH-Stph
aminoside;(AGly)aph-VIII
aminoside;(AGly)apmA
aminoside;(AGly)grm
aminoside;(AGly)kamB
aminoside;(AGly)npmA
aminoside;(AGly)rmtB
aminoside;(AGly)rmtC
aminoside;(AGly)rmtD2
aminoside;(AGly)rmtE
aminoside;(AGly)rmtF
aminoside;(AGly)rmtG
aminoside;(AGly)rmtH
nucleoside;(AGly)sat-2A
nucleoside;(AGly)sat4A
nucleoside;(AGly)satA
aminoside;(AGly)spc
aminoside;(AGly)sph
aminoside;(AGly)sph-I
aminoside;(AGly)spw
streptothricin;(AGly)sta
aminoside;(AGly)str
aminoside;(AGly)strA
aminoside;(AGly)strB
aminoside;(AGly)vph
blactamase;(Bla)aci1
blactamase;(Bla)AmpC1_Ecoli
blactamase;(Bla)AmpC2_Ecoli
blactamase;(Bla)ampH
blactamase;(Bla)ampH_Ecoli
blactamase;(Bla)ampS
blactamase;(Bla)beta-lactamase_class-C
blactamase;(Bla)BJP-1
blactamase;(Bla)BLA-1
blactamase;(Bla)bla2
blactamase;(Bla)bla2a
blactamase;(Bla)blaA
blactamase;(Bla)BlaA1
blactamase;(Bla)BlaA2
blactamase;(Bla)blaACC-2
blactamase;(Bla)blaACC-3
blactamase;(Bla)blaACC-5
blactamase;(Bla)blaACT-10
blactamase;(Bla)blaACT-12
blactamase;(Bla)blaACT-15
blactamase;(Bla)blaACT-16
blactamase;(Bla)blaACT-2
blactamase;(Bla)blaACT-3
blactamase;(Bla)blaACT-38
blactamase;(Bla)blaACT-4
blactamase;(Bla)blaACT-5
blactamase;(Bla)blaACT-6
blactamase;(Bla)blaACT-7
blactamase;(Bla)blaACT-9
blactamase;(Bla)blaADC-12
blactamase;(Bla)blaADC-13
blactamase;(Bla)blaADC-15
blactamase;(Bla)blaADC-16
blactamase;(Bla)blaADC-18
blactamase;(Bla)blaADC-19
blactamase;(Bla)blaADC-2
blactamase;(Bla)blaADC-20
blactamase;(Bla)blaADC-21
blactamase;(Bla)blaADC-22
blactamase;(Bla)blaADC-68
blactamase;(Bla)blaADC-75
blactamase;(Bla)blaADC-76
blactamase;(Bla)blaAER-1
blactamase;(Bla)blaAIM-1
blactamase;(Bla)blaAQU-1
blactamase;(Bla)blaAQU-3
blactamase;(Bla)blaARL-2
blactamase;(Bla)blaAST-1
blactamase;(Bla)blaB-11
blactamase;(Bla)blaB-12
blactamase;(Bla)blaB-2
blactamase;(Bla)blaB-4
blactamase;(Bla)blaB-7
blactamase;(Bla)blaBAT-1
blactamase;(Bla)blaBCL-1
blactamase;(Bla)blaBEL-1
blactamase;(Bla)blaBKC-1
blactamase;(Bla)blaBPU-1
blactamase;(Bla)blaBRO-1
blactamase;(Bla)blaCARB-27
blactamase;(Bla)blaCARB-42
blactamase;(Bla)blaCAU-1
blactamase;(Bla)blaCBP-1
blactamase;(Bla)blaCFE-1
blactamase;(Bla)blaCGA-1
blactamase;(Bla)blaCGB-1
blactamase;(Bla)blaCIA-1
blactamase;(Bla)blaCIA-4
blactamase;(Bla)blaCMA-1
blactamase;(Bla)blaCMA-2
blactamase;(Bla)blaCME-1
blactamase;(Bla)blaCMG
blactamase;(Bla)blaCMH-1
blactamase;(Bla)blaCMY-104
blactamase;(Bla)blaCMY-111
blactamase;(Bla)blaCMY-51
blactamase;(Bla)blaCMY-53
blactamase;(Bla)blaCMY-70
blactamase;(Bla)blaCMY-74
blactamase;(Bla)blaCMY-75
blactamase;(Bla)blaCMY-8
blactamase;(Bla)blaCMY-83
blactamase;(Bla)blaCSA-1
blactamase;(Bla)blaCTX-M-121
blactamase;(Bla)blaCTX-M-123
blactamase;(Bla)blaCTX-M-3
blactamase;(Bla)blaCTX-M-37
blactamase;(Bla)blaCTX-M-5
blactamase;(Bla)blaCTX-M-63
blactamase;(Bla)blaCTX-M-78
blactamase;(Bla)blaDES-1
blactamase;(Bla)blaDHA-1
blactamase;(Bla)blaDHA-9
blactamase;(Bla)blaDIM-1
blactamase;(Bla)blaEAM-1
blactamase;(Bla)blaEBR-1
blactamase;(Bla)blaECM-1
blactamase;(Bla)blaEFM-1
blactamase;(Bla)blaELM-1
blactamase;(Bla)blaERP-1
blactamase;(Bla)blaFAR-1
blactamase;(Bla)blaFEZ-1
blactamase;(Bla)blaFONA-4
blactamase;(Bla)blaFONA-5
blactamase;(Bla)blaFOX-1
blactamase;(Bla)blaFOX-2
blactamase;(Bla)blaFOX-4
blactamase;(Bla)blaFPH-1
blactamase;(Bla)blaFTU-1
blactamase;(Bla)blaGES-1
blactamase;(Bla)blaGIM-1
blactamase;(Bla)blaGOB-10
blactamase;(Bla)blaGOB-13
blactamase;(Bla)blaGOB-16
blactamase;(Bla)blaGOB-7
blactamase;(Bla)blaHERA-3
blactamase;(Bla)blaHERA-6
blactamase;(Bla)blaHERA-8
blactamase;(Bla)blaI
blactamase;(Bla)blaIMI-2
blactamase;(Bla)blaIMP-1
blactamase;(Bla)blaIMP-13
blactamase;(Bla)blaIMP-15
blactamase;(Bla)blaIMP-18
blactamase;(Bla)blaIMP-27
blactamase;(Bla)blaIMP-39
blactamase;(Bla)blaIMP-7
blactamase;(Bla)blaIMP-8
blactamase;(Bla)blaIND-1
blactamase;(Bla)blaIND-11
blactamase;(Bla)blaIND-3
blactamase;(Bla)blaIND-4
blactamase;(Bla)blaIND-5
blactamase;(Bla)blaIND-7
blactamase;(Bla)blaJOHN-1
blactamase;(Bla)blaKLUC-1
blactamase;(Bla)blaKPC-3
blactamase;(Bla)blaL1
blactamase;(Bla)blaL-1
blactamase;(Bla)blaL2
blactamase;(Bla)blaLAP-1
blactamase;(Bla)blaLAP-2
blactamase;(Bla)blaLCR-1
blactamase;(Bla)blaLEN-17
blactamase;(Bla)blaLEN-19
blactamase;(Bla)blaLEN-26
blactamase;(Bla)blaLHK-1
blactamase;(Bla)blaLMB-1
blactamase;(Bla)blaLRA-1
blactamase;(Bla)blaLRA-3
blactamase;(Bla)blaLUS-1
blactamase;(Bla)blaLUT-1
blactamase;(Bla)blaMAL-1
blactamase;(Bla)blaMIR-5
blactamase;(Bla)blaMOX-6
blactamase;(Bla)blaMOX-8
blactamase;(Bla)blaMSI-1
blactamase;(Bla)blaMUS-1
blactamase;(Bla)blaNDM-1
blactamase;(Bla)blaNMC-A
blactamase;(Bla)blaNPS-1
blactamase;(Bla)blaOCH-2
blactamase;(Bla)blaOCH-3
blactamase;(Bla)blaOCH-5
blactamase;(Bla)blaOCH-6
blactamase;(Bla)blaOCH-7
blactamase;(Bla)blaOCH-8
blactamase;(Bla)blaOKP-A-11
blactamase;(Bla)blaOKP-B-2
blactamase;(Bla)blaORN1a
blactamase;(Bla)blaOXA-1
blactamase;(Bla)blaOXA-10
blactamase;(Bla)blaOXA-114
blactamase;(Bla)blaOXA-119
blactamase;(Bla)blaOXA-12
blactamase;(Bla)blaOXA-129
blactamase;(Bla)blaOXA-137
blactamase;(Bla)blaOXA-198
blactamase;(Bla)blaOXA-20
blactamase;(Bla)blaOXA-204
blactamase;(Bla)blaOXA-209
blactamase;(Bla)blaOXA-21
blactamase;(Bla)blaOXA-211
blactamase;(Bla)blaOXA-212
blactamase;(Bla)blaOXA-213
blactamase;(Bla)blaOXA-214
blactamase;(Bla)blaOXA-22
blactamase;(Bla)blaOXA-228
blactamase;(Bla)blaOXA-229
blactamase;(Bla)blaOXA-23
blactamase;(Bla)blaOXA-235
blactamase;(Bla)blaOXA-243a
blactamase;(Bla)blaOXA-258
blactamase;(Bla)blaOXA-278
blactamase;(Bla)blaOXA-29
blactamase;(Bla)blaOXA-296
blactamase;(Bla)blaOXA-347
blactamase;(Bla)blaOXA-42
blactamase;(Bla)blaOXA-436
blactamase;(Bla)blaOXA-46
blactamase;(Bla)blaOXA-5
blactamase;(Bla)blaOXA-50
blactamase;(Bla)blaOXA-54
blactamase;(Bla)blaOXA-55
blactamase;(Bla)blaOXA-551
blactamase;(Bla)blaOXA-58
blactamase;(Bla)blaOXA-59
blactamase;(Bla)blaOXA-60
blactamase;(Bla)blaOXA-61
blactamase;(Bla)blaOXA-62
blactamase;(Bla)blaOXA-666
blactamase;(Bla)blaOXA-68
blactamase;(Bla)blaOXA-72
blactamase;(Bla)blaOXA-789
blactamase;(Bla)blaOXA-805
blactamase;(Bla)blaOXA-819
blactamase;(Bla)blaOXA-820
blactamase;(Bla)blaOXA-821
blactamase;(Bla)blaOXA-825
blactamase;(Bla)blaOXA-85
blactamase;(Bla)blaOXA-9
blactamase;(Bla)blaOXY1-3
blactamase;(Bla)blaOXY2-3
blactamase;(Bla)blaOXY3-1
blactamase;(Bla)blaPAM-1
blactamase;(Bla)blaPDC-195
blactamase;(Bla)blaPDC-208
blactamase;(Bla)blaPEDO-1
blactamase;(Bla)blaPEDO-2
blactamase;(Bla)blaPER-1
blactamase;(Bla)blaPER-2
blactamase;(Bla)blaPER-6
blactamase;(Bla)blaPLA1a
blactamase;(Bla)blaPLN-1
blactamase;(Bla)blaPOM-1
blactamase;(Bla)blaPSV-1
blactamase;(Bla)blaR1
blactamase;(Bla)blaR1_Bacilli
blactamase;(Bla)blaRAHN-2
blactamase;(Bla)blaROB-1
blactamase;(Bla)blaSCO-1
blactamase;(Bla)blaSED-1
blactamase;(Bla)blaSFB-1
blactamase;(Bla)blaSFC-1
blactamase;(Bla)blaSFO-1
blactamase;(Bla)blaSGM-1
blactamase;(Bla)blaSGM-2
blactamase;(Bla)blaSGM-3
blactamase;(Bla)blaSGM-4
blactamase;(Bla)blaSGM-5
blactamase;(Bla)blaSGM-6
blactamase;(Bla)blaSGM-7
blactamase;(Bla)blaSHV-1
blactamase;(Bla)blaSHV-12
blactamase;(Bla)blaSHV-33
blactamase;(Bla)blaSIM-1
blactamase;(Bla)blaSLB-1
blactamase;(Bla)blaSME-2
blactamase;(Bla)blaSPM-1
blactamase;(Bla)blaSPR-1
blactamase;(Bla)blaSPU-1
blactamase;(Bla)blaSRT-1
blactamase;(Bla)blaSST-1
blactamase;(Bla)blaTEM-105
blactamase;(Bla)blaTEM-116
blactamase;(Bla)blaTEM-141
blactamase;(Bla)blaTEM-176
blactamase;(Bla)blaTEM-94
blactamase;(Bla)blaTHIN-B
blactamase;(Bla)blaTLA-1
blactamase;(Bla)blaTMB-1
blactamase;(Bla)blaTRU-1
blactamase;(Bla)blaTUS-1
blactamase;(Bla)blaVHH-1
blactamase;(Bla)blaVIM-4
blactamase;(Bla)blaVIM-6
blactamase;(Bla)blaZ
blactamase;(Bla)BSU-1
blactamase;(Bla)car-1
blactamase;(Bla)CARB-14/blaRTG
blactamase;(Bla)CARB-3
blactamase;(Bla)CARB-4
blactamase;(Bla)CARB-9
blactamase;(Bla)cblA
blactamase;(Bla)cepA
blactamase;(Bla)cepA-44
blactamase;(Bla)cepA-49
blactamase;(Bla)cepH
blactamase;(Bla)cepH-A3
blactamase;(Bla)cfiA13
blactamase;(Bla)cfxA
blactamase;(Bla)cfxA2
blactamase;(Bla)cfxA4
blactamase;(Bla)cfxA6
blactamase;(Bla)cphA1
blactamase;(Bla)cphA2
blactamase;(Bla)cphA4
blactamase;(Bla)cphA5
blactamase;(Bla)cphA7
blactamase;(Bla)hugA
blactamase;(Bla)imiH
blactamase;(Bla)Mbl
blactam_non_enz;(Bla)mecA
blactam_non_enz;(Bla)mecA1
blactam_non_enz;(Bla)mecC
blactam_non_enz;(Bla)MecI
blactam_non_enz;(Bla)PBP1a
blactam_non_enz;(Bla)PBP1b
blactamase;(Bla)penA
blactam_non_enz;(Bla)Penicillin_Binding_Protein_Ecoli
blactamase;(Bla)VEB-14
blactamase;(Bla)Zn-dependent_hydrolase
peptide;(Col)mcr-1.1
peptide;(col)mcr-2.2
peptide;(Col)mcr-3.1
peptide;(Col)mcr-3.12
peptide;(Col)mcr-3.20
peptide;(Col)mcr-3.27
peptide;(Col)mcr-4.3
peptide;(Col)mcr-5.1
peptide;(Col)mcr-7.1
peptide;(Col)mcr-8.2
peptide;(Col)mcr-9.1
fusidic acid;(Fcd)far1
fusidic acid;(Fcd)fusC
fusidic acid;(Fcd)fusD
fusidic acid;(Fcd)fusF
fosfomycin;(Fcyn)FomA
fosfomycin;(Fcyn)FomB
fosfomycin;(Fcyn)FomC
fosfomycin;(Fcyn)FosA
fosfomycin;(Fcyn)FosA2
fosfomycin;(Fcyn)FosA4
fosfomycin;(Fcyn)FosA5
fosfomycin;(Fcyn)FosA6
fosfomycin;(Fcyn)FosA7
fosfomycin;(Fcyn)FosB
fosfomycin;(Fcyn)FosB2
fosfomycin;(Fcyn)FosB6
fosfomycin;(Fcyn)fosBx1
fosfomycin;(Fcyn)FosD
fosfomycin;(Fcyn)fosE
fosfomycin;(Fcyn)fosF
fosfomycin;(Fcyn)fosI
fosfomycin;(Fcyn)FosK
fosfomycin;(Fcyn)FosX
fosfomycin;(Fcyn)FosX_CC
quinolone;(Flq)crpP
quinolone;(Flq)norA
Multidrug_efflux;(Flq)OqxA
Multidrug_efflux;(Flq)OqxBgb
quinolone;(Flq)qepA
quinolone;(Flq)qnrA7
quinolone;(Flq)qnr-AS
quinolone;(Flq)qnrB10
quinolone;(Flq)qnrB12
quinolone;(Flq)qnrB21
quinolone;(Flq)qnrB22
quinolone;(Flq)qnrB33
quinolone;(Flq)qnrB35
quinolone;(Flq)qnrB37
quinolone;(Flq)qnrB38
quinolone;(Flq)qnrB41
quinolone;(Flq)qnrB5
quinolone;(Flq)qnrB6
quinolone;(Flq)qnrC
quinolone;(Flq)qnrD
quinolone;(Flq)qnrS2
quinolone;(Flq)qnr-S5
quinolone;(Flq)qnrVC1
quinolone;(Flq)qnrVC4
quinolone;(Flq)qnrVC6
fusidic acid;(Fus)fusH
Glycopeptide/Cycloserine;(Gly)vanA-A
Glycopeptide/Cycloserine;(Gly)vanA-Ao2
Glycopeptide/Cycloserine;(Gly)vanA-B
Glycopeptide/Cycloserine;(Gly)vanA-D
Glycopeptide/Cycloserine;(Gly)vanAE-Pp
Glycopeptide/Cycloserine;(Gly)vanA-G
Glycopeptide/Cycloserine;(Gly)vanA-M
Glycopeptide/Cycloserine;(Gly)vanC1
Glycopeptide/Cycloserine;(Gly)vanC3
Glycopeptide/Cycloserine;(Gly)vanC4
Glycopeptide/Cycloserine;(Gly)vanE
Glycopeptide/Cycloserine;(Gly)vanH
Glycopeptide/Cycloserine;(Gly)vanH-A
Glycopeptide/Cycloserine;(Gly)vanHA-Bc
Glycopeptide/Cycloserine;(Gly)vanH-Ao2
Glycopeptide/Cycloserine;(Gly)vanH-E
Glycopeptide/Cycloserine;(Gly)vanH-M
Glycopeptide/Cycloserine;(Gly)vanH-Pt
Glycopeptide/Cycloserine;(Gly)vanR-A
Glycopeptide/Cycloserine;(Gly)vanR-B
Glycopeptide/Cycloserine;(Gly)vanR-C
Glycopeptide/Cycloserine;(Gly)vanRc3
Glycopeptide/Cycloserine;(Gly)vanRc4
Glycopeptide/Cycloserine;(Gly)vanR-D
Glycopeptide/Cycloserine;(Gly)vanR-F
Glycopeptide/Cycloserine;(Gly)vanR-M
Glycopeptide/Cycloserine;(Gly)vanR-Pt
Glycopeptide/Cycloserine;(Gly)VanS_Re
Glycopeptide/Cycloserine;(Gly)vanS-A
Glycopeptide/Cycloserine;(Gly)vanS-B
Glycopeptide/Cycloserine;(Gly)vanS-C
Glycopeptide/Cycloserine;(Gly)vanSc3
Glycopeptide/Cycloserine;(Gly)vanSc4
Glycopeptide/Cycloserine;(Gly)vanS-D
Glycopeptide/Cycloserine;(Gly)vanS-F
Glycopeptide/Cycloserine;(Gly)vanS-M
Glycopeptide/Cycloserine;(Gly)vanS-Pt2
Glycopeptide/Cycloserine;(Gly)vanT
Glycopeptide/Cycloserine;(Gly)vanTc3
Glycopeptide/Cycloserine;(Gly)vanTc4
Glycopeptide/Cycloserine;(Gly)VanU
Glycopeptide/Cycloserine;(Gly)vanW-B
Glycopeptide/Cycloserine;(Gly)vanX-A
Glycopeptide/Cycloserine;(Gly)vanX-Ac1
Glycopeptide/Cycloserine;(Gly)vanX-Ao2
Glycopeptide/Cycloserine;(Gly)vanX-B
Glycopeptide/Cycloserine;(Gly)vanX-D
Glycopeptide/Cycloserine;(Gly)vanXE-Pp
Glycopeptide/Cycloserine;(Gly)vanX-M
Glycopeptide/Cycloserine;(Gly)vanX-Pt
Glycopeptide/Cycloserine;(Gly)vanX-Sc
Glycopeptide/Cycloserine;(Gly)vanX-Yc
Glycopeptide/Cycloserine;(Gly)vanXYc2/3
Glycopeptide/Cycloserine;(Gly)vanXYc4
Glycopeptide/Cycloserine;(Gly)VanY_Ng
Glycopeptide/Cycloserine;(Gly)vanY-A
Glycopeptide/Cycloserine;(Gly)vanY-B
Glycopeptide/Cycloserine;(Gly)vanY-D
Glycopeptide/Cycloserine;(Gly)vanYF-Pp
Glycopeptide/Cycloserine;(Gly)vanY-M
Glycopeptide/Cycloserine;(Gly)vanY-Pt
Glycopeptide/Cycloserine;(Gly)vanY-Pt2
Glycopeptide/Cycloserine;(Gly)vanZ-A
Glycopeptide/Cycloserine;(Gly)vanZF-Pp
Glycopeptide/Cycloserine;(Gly)vanZ-Pa
MLS;(MLS)car(A)
Multidrug_efflux;(MLS)cfr(A)
Multidrug_efflux;(MLS)cfr(B)
MLS;(MLS)emt(A)
MLS;(MLS)ere(A2)
MLS;(MLS)ere(B)
MLS;(MLS)ere(D)
MLS;(MLS)erm(30)
MLS;(MLS)erm(31)
MLS;(MLS)erm(32)
MLS;(MLS)erm(34)
MLS;(MLS)erm(35)
MLS;(MLS)erm(36)
MLS;(MLS)erm(37)
MLS;(MLS)erm(38)
MLS;(MLS)erm(39)
MLS;(MLS)erm(40)
MLS;(MLS)erm(41)
MLS;(MLS)erm(42)
MLS;(MLS)erm(43)
MLS;(MLS)erm(44)
MLS;(MLS)erm(45)
MLS;(MLS)erm(46)
MLS;(MLS)erm(47)
MLS;(MLS)erm(A)
MLS;(MLS)erm(B)
MLS;(MLS)erm(C)
MLS;(MLS)erm(CX)
MLS;(MLS)erm(D)
MLS;(MLS)erm(E)
MLS;(MLS)erm(F)
MLS;(MLS)erm(G)
MLS;(MLS)erm(K)
MLS;(MLS)erm(N)
MLS;(MLS)erm(O)
MLS;(MLS)erm(Q)
MLS;(MLS)erm(R)
MLS;(MLS)erm(S)
MLS;(MLS)erm(T)
MLS;(MLS)erm(V)
MLS;(MLS)erm(X)
MLS;(MLS)erm(Y)
MLS;(MLS)erm(Z)
MLS;(MLS)lin
MLS;(MLS)lin(A)
MLS;(MLS)lmr(A)
MLS;(MLS)lmr(B)
MLS;(MLS)lnu((B)
MLS;(MLS)lnu(C)
MLS;(MLS)lnu(D)
MLS;(MLS)lnu(F)
MLS;(MLS)lsa(A)
MLS;(MLS)lsa(B)
MLS;(MLS)lsa(C)
MLS;(MLS)mef(A)
MLS;(MLS)mef(B)
MLS;(MLS)mef(C)
MLS;(MLS)Mef(En2)
MLS;(MLS)mph(A)
MLS;(MLS)mph(B)
MLS;(MLS)mph(C)
MLS;(MLS)mph(D)
MLS;(MLS)mph(E)
MLS;(MLS)mph(G)
MLS;(MLS)msr(A)
MLS;(MLS)msr(C)
MLS;(MLS)msr(D)
MLS;(MLS)msr(E)
MLS;(MLS)myrA
MLS;(MLS)ole(B)
MLS;(MLS)ole(C)
MLS;(MLS)oleD
MLS;(MLS)oleI
MLS;(MLS)sal(A)
MLS;(MLS)srm(B)
MLS;(MLS)tlr(C)
MLS;(MLS)vat(A)
MLS;(MLS)vat(B)
MLS;(MLS)vat(C)
MLS;(MLS)vat(D)
MLS;(MLS)vat(E)
MLS;(MLS)vat(F)
MLS;(MLS)vga(A)
MLS;(MLS)vga(A)-LC
MLS;(MLS)vga(B)
MLS;(MLS)vga(D)
MLS;(MLS)vga(E)
MLS;(MLS)vgb(A)
MLS;(MLS)vgb(B)
nitroimidazole;(Ntmdz)nimA_Nitroimidazole_Gene
nitroimidazole;(Ntmdz)NimB_Nitroimidazole_Gene
nitroimidazole;(Ntmdz)nimC_Nitroimidazole_Gene
nitroimidazole;(Ntmdz)nimD_Nitroimidazole_Gene
nitroimidazole;(Ntmdz)nimE_Nitroimidazole_Gene
nitroimidazole;(Ntmdz)nimI_Nitroimidazole_Gene
nitroimidazole;(Ntmdz)nimj_Nitroimidazole_Gene
Multidrug;(Oxzln)OptrA_15
Multidrug;(Oxzln)poxtA
bicyclomycin;(Phe)bcr1
phenicol;(Phe)cat-86
phenicol;(phe)catA_variant1
phenicol;(Phe)catA1
phenicol;(Phe)catA13
phenicol;(Phe)catA14
phenicol;(Phe)catA2
phenicol;(Phe)catA3
phenicol;(Phe)catA4
phenicol;(Phe)catA8
phenicol;(Phe)catA9
phenicol;(Phe)catA-St
phenicol;(Phe)catB
phenicol;(Phe)catB_variant1
phenicol;(Phe)catB1
phenicol;(Phe)catB10
phenicol;(Phe)catB11
phenicol;(Phe)catB2
phenicol;(Phe)catB3
phenicol;(Phe)catB4
phenicol;(Phe)catB6
phenicol;(Phe)catB7
phenicol;(Phe)catB8
phenicol;(Phe)catB9
phenicol;(Phe)catP
phenicol;(Phe)cat-pC221
phenicol;(Phe)cat-pC223
phenicol;(Phe)catQ
phenicol;(Phe)catS
phenicol;(Phe)catU
phenicol;(Phe)catV
phenicol;(Phe)cml
phenicol;(Phe)cmlA5
phenicol;(Phe)cmlB_variant1
phenicol;(Phe)cmlB1
phenicol;(Phe)cmlV
phenicol;(Phe)cmrA
phenicol;(Phe)cmxA
phenicol;(Phe)cpt
phenicol;(Phe)cpt_strepv
phenicol;(Phe)dha1
phenicol;(Phe)fexA
phenicol;(Phe)floR
rifampicin;(Rif)arr2
rifampicin;(Rif)arr3
rifampicin;(Rif)arr4
rifampicin;(Rif)arr5
rifampicin;(Rif)iri
rifampicin;(Rif)rph
rifampicin;(Rif)rphD
Sulfonamide/trimethoprim;(Sul)sul1
Sulfonamide/trimethoprim;(Sul)sul2
Sulfonamide/trimethoprim;(Sul)sul3
Sulfonamide/trimethoprim;(Sul)sul4
cycline;(Tet)otrA
cycline;(Tet)otrB
cycline;(Tet)otrC
cycline;(Tet)tcr-3
cycline;(Tet)tet(30)
cycline;(Tet)tet(31)
cycline;(Tet)tet(32)
cycline;(Tet)tet(33)
cycline;(Tet)tet(34)
cycline;(Tet)tet(35)
cycline;(Tet)tet(36)
cycline;(Tet)tet(38)
cycline;(Tet)tet(39)
cycline;(Tet)tet(40)
cycline;(Tet)tet(41)
cycline;(Tet)tet(42)
cycline;(Tet)tet(44)
cycline;(Tet)tet(45)
cycline;(Tet)Tet(57)
cycline;(Tet)Tet(58)
cycline;(Tet)Tet(59)
cycline;(Tet)Tet(60)
cycline;(Tet)tet(H)
cycline;(Tet)tetA
cycline;(Tet)TetAB
cycline;(Tet)tetA-P
cycline;(Tet)tetB
cycline;(Tet)TetB(60)
cycline;(Tet)tetB-P
cycline;(Tet)tetC
cycline;(Tet)tetD
cycline;(Tet)tetE
cycline;(Tet)tetG
cycline;(Tet)tetH
cycline;(Tet)tetJ
cycline;(Tet)tetK
cycline;(Tet)tetL
cycline;(Tet)tetM
cycline;(Tet)tetO
cycline;(Tet)tetQ
cycline;(Tet)tetR
cycline;(Tet)tetR(G)
cycline;(Tet)tetS
cycline;(Tet)tetT
cycline;(Tet)tetU
cycline;(Tet)tetV
cycline;(Tet)tetW
cycline;(Tet)tetX
cycline;(Tet)tetY
cycline;(Tet)tetZ
Tetracenomycin;(TetracenomycinC)tcmA
Sulfonamide/trimethoprim;(Tmt)dfr16
Sulfonamide/trimethoprim;(Tmt)dfr18
Sulfonamide/trimethoprim;(Tmt)dfr22
